stemming_text,lemma_text,Sentiment_Rating
baju kurta sampai dalam ada baik tapi tarik ada,Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,Neutral
sizing tinda tepat langsung aku rasa macam baju sekolah zaman rendah expressionflessface,SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,Negative
baju kurta saya dah koyak belum pakai memang tolak alit langsung facewithrollingeyes,Baju kurta saya dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,Negative
hantar laju kain cantik terima kasih jual masih tunggu lagi 2pasan baju untuk smpai pos out lambat pulak dari yang ini,Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,Positive
baju selamat darat kain cantik dan sedap di pakai jual amah abg j t pun laju buat keja,Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,Positive
baju cantik pos dalam 4hri alit okay la terima kasih jual zanyface zanyface zanyface zanyface,Baju cantik po dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,Positive
selamat sampai terima kasih ya saiz ukur sama seperti dalam carta ukur,selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,Positive
bungkus bagus dan baik barang sampai dengan selamat tiada kerosakan dan bocor plastik yang di balut video tiada kait kain baik dan lembut,Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,Positive
baju saiz 3 4 ok semua cantik jahit kemis baju saiz 1 2 jahit kemas tapi ada sikit kotor karat bela baju skrg,Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,Positive
perfect hantar sangat cepat alit kain pun best aak 1 tahun 11 bulan amik saiz 1 2 fit jual responden pun cepat,Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,Positive
bahan baik barang sampai dalam ada baik jual pun baik ada rezeki akan repeat order lagi terima kasih jual terbaikkk terbaikkkkkkkkkkkkkkkk,Bahan Baik Barang Sampai Dalam Keadaan Baik Penjual Pun Baik Ada Rezeki Akan Repeat Order Lagi Terima KASIH Penjual Terbaikkk Terbaikkkkkkkkkkkkkkkk,Positive
baju cantik kain ok sedap pakai penhantaran cepat layan jual memang baik la mudah urus kalau ade 10 star nak bagi,Baju Cantik Kain Ok Sedap Pakai Penhantaran Cepat Layanan Penjual Memang Terbaik la Mudah Berurusan Kalau Ade 10 Star Nak Bagi,Positive
tq barang sudah sampai aak2 suka kain put best boleh repeat intone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone bsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskirtightrightskintone thumblightskhingtone thumblightskintonskintone thumblightskhirtichembshingkhightskhirtkhirtonskhirtonskumbathumbsuplightskintone thumbsupmedium lightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone star star star star star star star star star star star star star star star star star star star,TQ BARANG SUDAH SAMPAI AAK2 SUKA KAIN PUT BEST BOLEH REPEAT intone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone bsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone Thumbsuplightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskintone thumblightskirtightrightskintone thumblightskhingtone thumblightskintonskintone thumblightskhirticheMbshingkhightskhirtkhirtonskhirtonskuMBAthumbsuplightskintone thumbsupmedium lightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone thumbsuplightskintone star star star star star star star star star star star star star star star star star star star,Positive
warna cantik wey susah gilos nak cari color ni banya yang sudah jual jual pos awal terima kasih ya ni baju raya aktuk untuk 2021 ini walaupun tongk rentas ereri raya tetap raya okbye okbye okbye okbye,warna cantik wey susah gilos nak cari color ni banya yang sudah dijual penjual po awal terima kasih ya ni baJu raya aktuk untuk 2021 ini walaupun tongk rentas ereri raya tetap raya okbye okbye okbye okbye,Positive
alhamdulillah semua oke kain pun cantik warna nya cantik delivery pun kira laju tongk hari tunggu order jumaat isnin hntr ok lah sabtu ahad pos laju cuti facewithhandovermouth,Alhamdulillah Semua Oke Kain Pun Cantik Warna Nya Cantik Delivery Pun Dikira Laju Tongk Berhari Tunggu Order Jumaat Isnin Hntr OK Lah Sabtu Ahad Pos Laju Cuti Facewithhandovermouth,Positive
pada mula jual hubung untuk kata krim warna takde jadi kena tukar pada akhir yang hantar warna krim bogel jugak bagaimana jual tq mesra dan bergantui cuma poslaju lambat nak,Pada mulanya penjual hubungi untuk mengatakan krim warna takde jadi Kena Tukar pada akhir Yang Dihantar Warna Krim Bogel Jugak Bagaimanapun Penjual TQ Mesra dan Bergantui Cuma Poslaju Lambat Nak,Positive
kain cantik sangat fit fit size anak terima kasih jual harga murah dengan alit yang,Kain Cantik Sangat Fit Fit Size Anak Terima kasih Penjual Harga Murah Dengan Kualiti Yang,Positive
baju senget ukur tongk sama poslaju lambat hantar barang dekat 10hari baru sampai baju plk ade kesan kotor so bad rugi duit aku ini,Baju Senget Ukuran Tongk sama Poslaju Lambat Hantar Barang Dekat 10hari Baru Sampai Baju Plk Ade Kesan Kotor So Bad Rugi Duit Aku Ini,Negative
item yang terima dalam ada yang baik alit ok boleh terima pandang saiz julat harga 8 sesuai dengan anak saudara saya yang usia 8 tahun dengan sempurna tetapi saya rasa ambil saiz 1 lebih besar rana dia dapat sambut hantar yang agak tinggi dari jual ke kurier agak lambat,item yang diterima dalam keadaan yang baik kualiti ok boleh diterima memandangkan saiz julat harga 8 sesuai dengan anak saudara saya yang berusia 8 tahun dengan sempurna tetapi saya rasa mengambil saiz 1 lebih besar kerana dia mendapat sambutan penghantaran yang agak tinggi dari penjual ke kurier agak lambat,Positive
hantar pantas baji sesuai muat ikut saiz cuma tangan panjang sangat nk kena baik sikit seluruh semua muas jahit baik khas butang ketip ank sumus cabut lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas cabut lepas lepas cabut lepas lepas cabut lepas lepas cabut lepas cabut cabut lepas lepas cabut lepas cabut lepas cabut lepas cabut ke mana,Penghantaran pantas baji Sesuai muat ikut saiz cuma tangan panjang sangat nk kena baiki sikit keseluruhan semua memuaskan jahitan baik khas butang ketip ank sumus cabut lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas lepas cabut lepas lepas lepas cabut lepas lepas cabut lepas lepas cabut lepas lepas cabut lepas cabut cabut lepas lepas cabut lepas cabut lepas cabut lepas cabut ke mana,Positive
baju dan kain cantik puas hati dah boleh raya facewithtearsofjoy,Baju Dan Kain Cantik Puas Hati Dah Boleh Raya Facewithtearsofjoy,Positive
baju muat2 je dengan adik saya umur 6 tahun tahun depan takdapat pakai lagi facewithtearsofjoy facewithtearsofjoy,Baju Muat2 Je Dengan Adik Saya Umur 6 Tahun Tahun Depan Takdapat Pakai Lagi Facewithtearsofjoy Facewithtearsofjoy,Positive
kain yang alit kain sejuk sedap pakai cuma saiz 5 agak untuk ank 5 tahun dana saiz 9 juga bedar unk ank 9 tahun kalau budak yang badan memang memang sesuai,Kain Yang Berkualiti Kain Sejuk Sedap Dipakai Cuma Saiz 5 Agak Untuk Ank 5 Tahun Dana Saiz 9 Juga Bedar Unk Ank 9 Tahun Kalau Budak Yang Badan Memang Memang Sesuai,Positive
perintah yang terima dengan terima kasih smilingfacewithhearts kain selesa pakai memang disyorkan thumbsup thumbsup thumbsup thumbsup thumbsup baju memang fit2 unak anak saya tahun bulan thumbsup,perintah yang diterima dengan terima kasih smilingfaceWithhearts Kain selesa dipakai memang disyorkan thumbsup thumbsup thumbsup thumbsup thumbsup Baju memang fit2 unak anak saya setahun sebulan thumbsup,Positive
baik baju cantik saiz fit 2 dengan anak umur 1 tahun 10 bulan sais 1 2y,Terbaik Baju Cantik Saiz Fit 2 Dengan Anak Umur 1 TAHUN 10 BULAN SAIS 1 2Y,Positive
alit jahit dan kain ok saiz 5 tahun muat unuk anak umur 3thun 4bln tinggi 106 berat 20kg cuma kena lipat sikit je bahagian tangan tangan,kualiti jahitan dan kain ok saiz 5 tahun muat unuk anak umur 3thun 4bln tinggi 106 berat 20kg cuma kena lipat sikit je bahagian tangan tangan,Positive
berbaloi tunggu minggu kain como crepe jahit pun kemas tq jual,Berbaloi Tunggu Seminggu Kain Como Crepe Jahitan Pun Kemas TQ Penjual,Positive
kain cantik harga pun patut belikan untuk adik bongsu minta maaf video takde kena mngena selamat berpuasaa semuaaaa,Kain cantik harga pun berpatutan belikan untuk adik bongsu minta maaf video takde kena mngena selamat berpuasaa semuaaaa,Positive
saiz produk sempurna hanya tidak alit dan harga hanya hebat,saiz produk sempurna hanya tidak berkualiti dan harganya hanya hebat,Positive
baju selamat sampai seluar fit dengan anak cuma baju besar sikit tetapi anak tarik seh boleh lipit sikit lengan baju fit la anak cakap cantik,Baju Selamat Sampai Seluar Fit Dengan Anak Cuma Baju Besar Sikit Tetapi Anak Tarik KeSeh Boleh Lipit Sikit Lengan Baju Fit La Anak Cakap Cantik,Positive
barang sampai dalam ada baik dengan bungkus yang elok terima kasih jual,Barang Sampai Dalam Keadaan Baik Dengan Bungkusan Yang Elok Terima kasih Penjual,Positive
kain dan color semua cantik jenis kain tolak mudah kedut tapi selesa untuk budak2 n cuaca dekat msia saya saiz beli 3 4tahun kalau ada sesipa nak saiz tu boleh dm ,Kain Dan Color Semua Cantik Jenis Kain Tolak Mudah Kedut Tapi Selesa Untuk Budak2 N Cuaca Dekat Msia Saya Saiz Beli 3 4tahun Kalau Ada Sesipa Nak Saiz Tu Boleh Dm .,Positive
kain cun saiz ikut saiz badan biasa kalau nak longgar sikit ambil size besar sikit color bukan betul2 maroon tapi ok je suka suka terima kasih jual,Kain Cun Saiz ikut saiz badan Biasa KALAU NAK LONGGAR SIKIT AMBIL SIZE BESAR SIKIT COLOR Bukan betul2 Maroon Tapi OK JE Suka Suka Terima kasih Penjual,Positive
bj cantik hantar cepat malam bayar hari sudah dapat terima kasih jual,bj cantik penghantaran cepat semalam bayar hari sudah dapat terima kasih penjual,Positive
alit cantik baju sesuai dengan ank saya hantar pun cepat,Kualiti Cantik Baju Sesuai Dengan Ank Saya Penghantaran Pun Cepat,Positive
fit alit baju mantap saiz cun cuma pos laju je tongk berapa nak laju minggu baru sampai kalau j t selalu 2 ke 3 hari sudah sampai,Fit Kualiti Baju Mantap Saiz Cun Cuma Pos Laju Je Tongk Berapa Nak Laju Seminggu Baru Sampai Kalau J T Selalu 2 Ke 3 Hari Sudah Sampai,Positive
jual baik sangat sangat layan saya yang salah beli saiz baju anak siap pos mula terima kasihhh loudlycryingface kalau tink melayal lagi duit nak baju baju baju baju penghantarn pun cepat tqtqtq,Penjual Baik Sangat Sangat Melayan Saya Yang Salah Beli Saiz Baju Anak Siap Pos Semula Terima KASIHHH Loudlycryingface KALAU TINK MELAYAL LAGI DUIT NAK BAJU BAJU BAJU BAJU PENGHANTARN PUN CEPAT TQTQTQ,Positive
baju cantik labuh tangan je panjang sikit tongk apa boleh lipat atau jahit hantar je slow poslaju,Baju Cantik Labuh Tangan Je Panjang Sikit Tongk apa Boleh Lipat Atau Jahit Penghantaran Je Slow Poslaju,Positive
baju dah sampai kain cantik baju fit2 dengan tuan nya cuma hantar laa makan masa,Baju Dah Sampai Kain Cantik Baju Fit2 Dengan Tuan Nya Cuma Penghantaran Laa Makan Masa,Positive
senang seluar jenis getah ni butang baju ni pula jenis klip je memang cantik sangat baju ni bahan dia breatble la oklah kalau budak2 tu jenis aktif sampai petang tq jual tq,Senang Seluar Jenis Getah Ni Butang Baju Ni Pula Jenis Klip Je Memang Cantik Sangat Baju Ni Bahan Dia Breatble La Oklah Kalau Budak2 Tu Jenis Aktif Sampai Petang TQ Penjual TQ,Positive
hantar ambil sedikit masa pesan lepas letak barang -barang dengan selamat bungkus dengan bungkus gelembung kain padan dengan sen yang belanja,Penghantaran mengambil sedikit masa pesanan Lepas diletakkan barang -barang dengan selamat dibungkus dengan bungkus gelembung Kain sepadan dengan sen yang dibelanjakan,Positive
saya perintah 3 pasang baju tapi yang sampai hanya 2 pasang sudah la lama tunggu sekali sampai takda pasang baju pasti nak pakai raya tu kecewa sikit cryingface cryingface cryingface tapi kain puas sangat,Saya Perintah 3 Pasang Baju Tapi Yang Sampai Hanya 2 Pasang Sudah La Lama Tunggu Sekali Sampai Takda Sepasang Baju Pasti Nak Pakai Raya Tu Kecewa Sikit Cryingface Cryingface Cryingface Tapi Kain Puas Sangat,Neutral
saiz fit dengan saya dan akain kain cantik dan jahit kemas akan beli lagi tq,Saiz Fit Dengan Saya Dan Akain Kain Cantik Dan Jahitan Kemas akan membeli lagi TQ,Positive
anak saya nak masuk 6 tahun saya ambik saiz 7 8 memang fit2 nasib tarik ambik saiz 5 6 sebab badan dia tinggi kain cantik jahit kemas sampai laju malam sampai dah harini tq jual terbaikk,Anak Saya Nak Masuk 6 Tahun Saya Ambik Saiz 7 8 Memang Fit2 Nasib Tarik Ambik Saiz 5 6 Sebab Badan Dia Tinggi Kain Cantik Jahitan Kemas Penyampaian Laju Semalam Sampai Dah Harini Tq Penjual Terbaikk,Positive
baik kain dan potong sama macam ukur muat dengan aak 5 tahun,Terbaik Kain Dan Memotong Sama Macam Pengukuran MUAT DENGAN AAK 5 TAHUN,Positive
kain lembut dan selesa butang jenis snap mudah pakai warna tepat gold mustard yang bestnya ukur sangat tepat anak2 padan,Kain Lembut Dan Selesa Butang Jenis Snap Mudah Pakai Warna Tepat Gold Mustard Yang Bestnya Pengukuran Sangat Tepat Anak2 Padan,Positive
baju cantik potong ok warna sama macam dalam gambar kain macam keras sikit tetapi teripu elok bila pakai harap lepas basuh ok dapat,Baju cantik pemotongan ok warna sama macam dalam gambar kain macam kera sikit tetapi teripu elok bila pakai harap lepas basuh ok dapat,Positive
kain sangat selesa dan ukur ter elok puas hati sangat hantar pn sangat laju,Kain Sangat Selesa Dan Ukuran Terlah Elok Puas Hati Sangat Penghantaran Pn Sangat Laju,Positive
baju dan seluar fit padan dengan anak saya umur 2 4m berat 12kg kain sangat puas hati disyorkan,Baju Dan Seluar Fit Padan Dengan Anak Saya Umur 2 4m Berat 12kg Kain Sangat Berpuas Hati Disyorkan,Positive
baju yang sangat cantik saya suka anak pun suka saiz fit2 ank umur 7 tahun bahan ok semua ok boleh guna unk raya nanti yeay tq,Baju Yang Sangat Cantik Saya Suka Anak Pun Suka Saiz Fit2 Ank Umur 7 Tahun Bahan Ok Semua Ok Boleh Guna Unk Raya Nanti Yeay Tq,Positive
jahit kemas saiz semua semua ok hantar pun cepat terima kasih jual grinningface herewithsmilingeyes facewithtearsofjoy rollingonthefloorlaughing grinningwithbigeyes grinningwithsmilingeyes grinningwithswitheats,Jahitan Kemas saiz semua semua ok penghantaran pun cepat terima kasih penjual grinningface herewithsmilingeyes facewithtearsofjoy rollingonthefloorlaughing grinningwithbigeyes grinningwithsmilingeyes grinningwithswitheats,Positive
jual baik hantar memang pantas kain elok cantik jahit sangat kemas warna kain dondon anak dan ayah,Penjual Terbaik Penghantaran Memang Pantas Kain Elok Cantik Jahitan Sangat Kemas Warna Kain Sedondon Anak Dan Ayah,Positive
mantap gila kain cantik warna kat gmbar tenda lawa bila pakai kacak alhamdulillah kacak,Mantap Gila Kain Cantik Warna Kat Gmbar Tenda Lawa Bila Pakai Kacak Alhamdulillah Kacak,Positive
cantik baju alit bagus dan cukup dengan anak anak umur 6 tahun,cantik baJu berkualiti bagus dan cukup dengan anak anak umur 6 tahun,Positive
biru dia cair sikit laaa tetapi masih bayi biru saiz muat dengan badan cuma labuh seluar kain pun cantik sejuk je pakai memang muat cantik handsome anak buah hahaha jual laju shopee,Biru Dia Cair Sikit Laaa Tetapi masih bayi biru saiz Muat Dengan Badan Cuma Labuh Seluar Kain Pun Cantik Sejuk Je Pakai Memang Muat Cantik Handsome Anak Buah Hahaha Penjual Laju Shopee,Positive
kain cantik kemas je rasa kain agak panas tu si bulat agak taksesuai mungkin patut pakai kurta je,Kain Cantik Kemas Je Rasanya Kain Agak Panas Tu Si Bulat Agak Taksesuai Mungkin Patut Pakai Kurta Je,Positive
baju raya aak2 sudah smpai bintang landa kain lawa sarat saiz fit unak anak2 adik umur 6y berat 20kg abang 8y berat 22kg abang yang terujapenjual akan ulang tidak lama lagi redheart redheart redheart redheart redheart,BAJU RAYA AAK2 SUDAH SMPAI Bintang melanda Kain Lawa Sarat Saiz Fit Unak Anak2 Adik Umur 6y Berat 20kg Abang 8y Berat 22kg Abang Yang Terujapenjual akan mengulangi tidak lama lagi redheart redheart redheart redheart redheart,Positive
barang dah terima baju nampak ok hantar yang cepat baik,Barang Dah Terima Baju Nampak OK Penghantaran Yang Cepat Terbaik,Positive
baju melayu cantik gila sampai hantar cepat pada titik sangat mengesyorkan kedai dalam tali ini,Baju Melayu Cantik Gila Penyampaian Penghantaran Cepat Pada Titik Sangat Mengesyorkan Kedai Dalam Talian Ini,Positive
kain lembut design modern beli dua dapat diskaun servis mantap terima kasih,Kain Lembut Design Modern Beli Dua Dapat Diskaun Servis Mantap Terima KASIH,Positive
baju sampai awal baik alit kain muas harga patut ulang langgan di sini,Baju Sampai Awal Terbaik Kualiti Kain Memuaskan Harga Berpatutan berulang pelanggan di sini,Positive
baju puas hatu trendy habis hantar pantas penuh rekomen terima kasih jual,Baju Puas Hatu Trendy Habis Penghantaran Pantas Penuh Rekomen Terima KASIH Penjual,Positive
kedai dalam tali,kedai dalam talian,Positive
ulang pesan dah kali ke 3 alit tolak pernah enjecewakan khidmat langgan muas,Ulangi pesanan dah kali ke 3 kualiti tolak pernah enjecewakan perkhidmatan pelanggan memuaskan,Positive
suka sangat reka bentuk baju kain sejuk harga patut hantar pantas baik,Suka Sangat Reka Bentuk Baju Kain Sejuk Harga Berpatutan Penghantaran Pantas Terbaik,Positive
alit kain tolak berapa design ok tapi agak kecewa dengan alit bahan,Kualiti Kain Tolak Seberapa Design OK Tapi Agak Kecewa Dengan Kualiti Bahan,Negative
pertama kali beli memang puas hati baju cantik harga patut akan ulang pesan,Pertama Kali Beli Memang Puas Hati Baju Cantik Harga Berpatutan akan mengulangi pesanan,Positive
reka bentuk moden harga berbaloi kain selesa sangat hantar pantas baik lah,Reka bentuk moden harga berbaloi kain selesa sangat penghantaran pantas terbaik lah,Positive
baju sampai awal alit memang tua saiz top kena harga patut disyorkan,Baju Sampai Awal Kualiti Memang Petua Saiz Top Kena Harga Berpatutan disyorkan,Positive
